name,address,type,has_pet_space,is_emergency_flood,is_emergency_landslide,is_emergency_tidalwave,is_emergency_large_fire,has_parking,has_barrier_free_toilet,is_designated_shelter,is_welfare_shelter_primary,emergency_space_note,notes,contact_hq,source_asof_date,lat,lng,capacity,phone,website_url,pin_icon
湘南工科大学,辻堂西海岸1-1-25,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.326162,139.4529327,,,,
湘南工科大学附属高等学校,辻堂西海岸1-1-25,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.326162,139.4529327,,,,
湘南工科大学（周辺）,辻堂西海岸1-1-25他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.326162,139.4529327,,,,
長久保公園,辻堂太平台2-13-35,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3324842,139.4665125,,,,
鵠沼市民センター 【地区防災拠点本部】,鵠沼海岸2-10-34,accompany,False,False,False,False,False,False,False,False,False,,周辺道幅狭いため路上駐車不可,,2025-04-01,35.3199855,139.4697607,,,,
鵠南小学校,鵠沼海岸4-7-34,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3183916,139.463665,,,,
鵠洋小学校,鵠沼桜が岡3-16-38,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3265518,139.4746853,,,,
鵠沼小学校,本鵠沼5-4-23,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.336724,139.4734494,,,,
鵠沼中学校,鵠沼桜が岡4-3-37,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3336928,139.4790205,,,,
太陽の家,鵠沼海岸6-6-12,accompany,False,False,False,False,False,False,False,False,False,,利用者送迎バス出入りあり,,2025-04-01,35.3274905,139.464187,,,,
市民会館,鵠沼東8-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3354431,139.4907041,,,,
鵠沼高等学校,鵠沼藤が谷4-9-10,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3273368,139.4837342,,,,
湘南学園,鵠沼松が岡4-1-32,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3244163,139.4774297,,,,
湘南なぎさ荘,鵠沼海岸6-17-7,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3235093,139.4651429,,,,
ＪＦＥエンジニアリング（株）江の島苑友荘,鵠沼松が岡1-17-4,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3169333,139.4768436,,,,
市民会館周辺（奥田公園含む）,鵠沼東8-1他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3354431,139.4907041,,,,
八部公園,鵠沼海岸6-12,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.32743019999999,139.4656682,,,,
片瀬市民センター 【地区防災拠点本部】,片瀬3-9-6,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3137063,139.4872962,,,,
片瀬小学校,片瀬2-14-29,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.319989,139.4875391,,,,
片瀬中学校,片瀬山4-1-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.322247,139.4932174,,,,
湘南港港湾管理事務所,江の島1-12-2,accompany,False,False,False,False,False,False,False,False,False,,※高潮警報時は除く,,2025-04-01,35.2996187,139.4835766,,,,
湘南白百合学園中学校・高等学校,片瀬目白山4-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3165804,139.4907836,,,,
湘南白百合学園小学校,片瀬海岸2-2-30,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3109931,139.4839484,,,,
江島神社,江の島2-3-8,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3005931,139.4795826,,,,
片瀬しおさいセンター（片瀬市民センター分館）,片瀬4-9-22,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3154353,139.4837023,,,,
江の島大師,江の島2-4-10,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.2988282,139.4790502,,,,
江の島アイランドスパ,江の島2-1-6,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3021731,139.4805506,,,,
サムエルコッキング苑,江の島2-3-28,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.2997382,139.47842,,,,
片瀬山公園,片瀬3-12,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3136715,139.4885577,,,,
